# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
00408970	ActorInitFlags	obj+0x34 = the spawn record's flags word | 1, and obj+0x38 = 0. Run by SpawnFromDescriptor BEFORE the class's own Init, which then ORs its bits on top. This is where the descriptor's flags become the actor's: bit 15 takes it out of the shot test and the crowd push, bit 17 skips the per-frame ground snap in ZombiePushOutOfWorldAndActors so a spawn placed on a ledge stays on it (95 spawns), bit 18 tells EnemyZombieInit not to compute the aim angles, bit 27 picks between row[2] and row[3] (155 spawns), and bit 14 freezes the pose. Bits 1 and 2 are consumed rather than kept: EnemyZombieInitByCharType (0045300B, 00453045) clears each and raises obj+0x38 bit 0x10 or 0x20 in its place, which it has to, because bits 1 and 2 of obj+0x34 are what MarkActorShot writes to name the player who fired. Bit 1 is the stationary thrower's do-not-walk-away and EXACTLY TWO shipped records set it, stage 3 block 2's two axe men (evt 0x3078 and 0x30BC, 0x20002); bit 2 is set by three stage-2 class-0x30 records. Bit 23 (0x800000) is a read-only spawn bit: NOTHING in .text writes it -- an exhaustive scan of every encoding that can set bit 23 of the dword at +0x34 finds no site -- and its five readers all ask the same question, skip the NoCameraTrack raise and the g_enemy_slots clear when this actor is the last enemy. Six shipped spawns carry it, all class 0x30 initial state 18: three in stage 1 (char type 7) and three in stage 3 (char type 11, 0x8800000). Bit 3 (0x8) is class 0x30's ride-the-carrier bit: EnemyZombieInitByCharType (0045301D) reads it and re-reads the descriptor's position and yaw as an offset on g_carrier_object, see ZombieAttachToCarrier. EXACTLY FOUR shipped records set it, all class 0x30, all st5evtbl block 2 step 2 op 38 (0x1D44, 0x1D74, 0x1DA4, 0x1DD4; init_flags 0x20008 and 0x60008). Unlike bits 1 and 2 it is NOT cleared, so it stays readable on obj+0x34.
00408990	EvtOpSpawnSimple0A	Event opcode 0x0A, and its operands are NOT the 0x24-byte placement descriptor the other spawn opcodes use: each points at a two-word record {class, hp}. The object is allocated from g_class_handlers[class] at 0x13F4 bytes, initialised by FUN_00408970, and both obj+0x11C and obj+0x11E take the second word as a SIGNED 16-BIT store, so the shipped 0xFFFF0000 is a zero. Nothing writes a position, so this is the opcode for objects that place themselves. All four records the shipped scripts name live in comevtbl.bin -- classes 0x60 (chapter card), 0x61 (result card), 0x62 (its tally) and 0x63 (the subtitle gate) -- which is why every stage names the same four addresses 0x00977234/3C/44/4C; stage 6 adds three stage-local records. Ported: script/ops/spawn.ts places them and game/class60/, game/class61/ run the two that raise a script flag.
00408a20	SpawnFromDescriptor	opcodes 0x0B/0x0D; alloc 0x13F4; obj+0x1390 = descriptor + 0x24. Also copies the u16 at descriptor+0x20 into obj+0x1316 (MOV word ptr [ESI + 0x1316], AX -- 66898616130000 at 0x00408A77), which EnemyThrowerInit and EnemyZombieInit both read as their class's second flag word. tools/hod2lib/evt.py calls that word 'unused in every shipped file'; it is not -- 23 of 51 class-0x31 and 76 of 345 class-0x30 spawn descriptors set it, including five stage-6 class-0x31 spawns that carry surface bits 0x40/0x80/0x100.
00408aa0	EvtOpSpawnObj0B
00408b70	EvtOpSpawnObjUnlessSkip0D
00408bc0	SpawnFromDescriptorSmall	opcode 0x0C; alloc 0x1314; obj+0x130C = descriptor + 0x24
00408c40	EvtOpSpawnObjC0C
00408c80	EvtOpSetApproachSteps0F
00408cc0	EvtOpSetApproachStepsTwoPlayerBias12
00408d10	EvtOpSetApproachRings0E
00408d90	ResetCameraEnemySlots	Clears g_enemy_slots, the 16-entry {u8 occupied; void *actor} table the tracking camera reads.
00408dd0	UpdateCameraEnemySlots	Rebuilds g_enemy_slots each frame from the radix-sorted candidate list: enemies holding an attack permit take slots 0 and 1, everyone else fills from slot 2.
00408e80	RegisterEnemySlot	Takes the first free general slot, 2..13; slots 0 and 1 are reserved for enemies holding an attack permit. The slot index is kept in obj+0x120.
00408ec0	RegisterForCameraTracking	Adds an actor to the camera candidate list unless obj+0x34 bit 0x10000 is set -- which ZombieStateApproach sets while walking and clears when the actor wins an attack permit, so only committed enemies are ever tracked. Key is (int)(|actor - camera eye| * 10.0). ITS XREF LIST IS INCOMPLETE IN GHIDRA AND THE MISSING CALLER IS THE IMPORTANT ONE: get_xrefs_to 0x00408ec0 returns eleven sites and not one of them is an enemy class, which reads as proof that class 0x30 and 0x31 are never camera candidates. They are. ActorRegisterCameraPoint (FUN_00409B70) ends PUSH ESI / CALL 0x00408ec0 at 0x00409bec..0x00409c03, AFTER the JMP to MatrixStackPop that Ghidra has marked no-return -- so the function body, the decompilation and the xref all stop at the tail call, and disassemble_bytes past 0x00409bec is what finds it. EnemyZombieUpdate (FUN_004533F0) makes that call every frame with a 4.0 lift.
00408f30	SortCameraCandidates	LSD radix sort, two 8-bit passes, over the {distance key, actor} candidate list -- nearest first.
00409010	RegisterForDistanceRank	Adds a live, not-yet-dead actor to the distance-ranked enemy list, at most 14.
004090b0	RankEnemiesByDistance	Once a frame: sorts the registration list by distance to the camera and writes **two** different ranks. Pass one: obj+0x131D gets the raw distance rank, nearest first, and obj+0x131E is set to 0xE. Then entries that are not live, or that carry obj+0x34 bit 0x20000000 -- which ZombieStateBackOff sets while it retreats -- are dropped, and pass two numbers the survivors 0, 1, 2 into obj+0x131E. So the compacted rank is the queue with the retreating actors taken out, and it is what the '< 3' cap tests, while the ring allowance tests the raw one. The list holds fourteen; a fifteenth enemy is never ranked and keeps 0xFF, which reads as -1 and passes every test.
00409190	SortEnemiesByDistance	A radix sort over the distance-rank registration list: two 8-bit passes on the u16 key at DAT_005A4D58, moving the {key, actor} pairs through the scratch at DAT_005A4E38 and back. Called by RankEnemiesByDistance and nothing else; it only orders, it does not move anyone.
00409270	ActorClaimHitSlot	14-slot table at g_hit_slots; sets obj+0x38 |= 0x40
004092b0	ReleaseCameraEnemySlot	Frees this actor's camera slot: g_enemy_slots[obj+0x120] = 0, obj+0x120 = 0xFF.
004092d0	ActorFreeHitSlot
004092f0	DispatchHit	The one and only caller of ResolveHit (FUN_00409430) in the image -- one xref -- and the gate on it. ChooseHitPlayerOrder first, then for each player in g_hit_player_order whose bit is up in obj+0x34: g_hit_bone[p] = (s8)obj+0x190+p, and ResolveHit runs ONLY if obj+0x34 bit 0x100 is clear (00409336 8b4834 MOV ECX,[EAX+0x34] / 00409339 f6c501 TEST CH,0x1 / 0040933c 750e JNZ 0040934c, which lands past the CALL at 0040933f). So an actor the class has made shot-immune -- a thrower down or getting up, a zombie emerging or frozen on a cue -- takes NO damage at all: not reduced damage, and not a hit resolved and then discarded. The shot still marks the actor and still gets feedback, which is where ThrowerShotFeedback's forced g_hit_result = 5 comes from. It then clears bit 3 of the bone record's +0x280 and both the per-player bit and obj+0x34 bit 3.
004093c0	ChooseHitPlayerOrder	picks which players resolve, randomising the order in two-player
00409430	ResolveHit	body-part and damage tables indexed by actor type. Reads g_app_state (0x009C8E98) TWICE, and both reads are about being out of play. At 0x00409495, when g_app_state != 6 it raises obj+0x34 |= 0xE00 on the actor being hit (a1988e9c00 / 83f806 / 7409 / 8b4734 / 80cc0e / 894734) -- three bits with three readers: 0x200 makes ActorSwapDamagedPart return before it does anything (f6c502 at 0x00409916), 0x400 skips both the sever arm (f6c604 at 0x004095BD) and the torso death-wound arm (f6c404 at 0x004096C0), and 0x800 forces g_hit_result to 0 (f6c508 at 0x004096F9). At 0x00409741 the 1-in-4 head pop on the killing shot is gated on g_app_state == 6 (833d988e9c0006 / 756c), so the head only comes off in play. Neither read fires during ordinary play; both hold in the attract demo, which is g_app_state 5.
00409870	DamageRankModifier	per-bone, per-difficulty addend from g_pBoneDamageByRank
004098c0	ActorApplyDamage	decrements obj+0x11C only
004098e0	ActorSwapDamagedPart	writes the effect slot into record[0] -- the slot the bone DRAWS -- so a hit replaces that body part. Refuses outright when g_cur_actor's obj+0x34 bit 0x200 is set: 00409913 8b4834 MOV ECX,[EAX+0x34] / 00409916 f6c502 TEST CH,0x2 / 00409919 757f JNZ (the epilogue), which skips the swap, the obj+0x78 clear and the obj+0x1318 zone bit. Only ResolveHit's out-of-play OR of 0xE00 raises 0x200; no shipped spawn record carries it.
004099a0	ResolveDamagedPartSphere	gives the swapped part its own hit sphere from the TAIL of g_pBoneHitSpheres, past bone_count-1 entries, terminated by slot == -1
00409a00	FindSkeletonNodeForBone	Search g_character_skeletons[char_type] for the node whose bone index (+0x14) is the argument. Starts at the root's children, so the root itself is never returned.
00409a50	FindSkeletonNodeForBoneRec	Recursive half of FindSkeletonNodeForBone. Node layout: +0x14 u16 bone, +0x16 u16 child count, +0x18 child pointers.
00409ab0	SeverBoneChildren	Run when a bone reaches its sever step (effect-table next == 1, or a torso hit that kills). Calls RemoveBoneSubtree on every CHILD of that bone -- the bone itself keeps the stump model ActorSwapDamagedPart just gave it, and everything below it disappears.
00409af0	RemoveBoneSubtree	Sets the destroyed-zone bit in obj+0x1318, zeroes the bone's draw slot (rec+0x00) and rec+0x78, then recurses into its children. A zero draw slot is both invisible and unshootable: ShotTestBoneTree tests `if (rec[0] != 0)`.
00409b70	ActorRegisterCameraPoint	Transforms obj+0x100 into view space for the shot test, runs RegisterForShotTest, then **raises obj+0x104 by its float argument** -- 4.0 for a class-0x30 zombie, 0 for a class-0x31 thrower -- and registers the actor for camera tracking. So the point the camera follows is the tracked bone lifted by four.
00409c10	ActorIsOnScreen	Projects the actor's tracked view-space point at obj+0x70/74/78 by g_projection_distance_px and asks whether it lands inside the frame -- half-width g_projection_distance_px * 0.5, half-height a literal 240. TryClaimAttackSlot calls it before handing out a permit, so an enemy off the side of the screen cannot start an attack, nor sit on the one permit while it is out of shot.
00409cc0	ActorDespawn
00409d10	ActorSetPartVisibility	Writes one byte -- 0 or 1, and nothing else is accepted -- into every part of a skinned-model record: model+0x3C parts, the byte at model+0x40 + i*8 - 7. The blinking corpse states are what call it, once per frame, with the parity of their own countdown.
00409d40	QueryGroundHeightAt
00409d80	QueryGroundSurfaceAt	Traces a vertical segment from (x, y-1000, z) up to (x, y, z) and returns g_coli_hit_surface -- the surface-type id, 0 for a miss. The sibling of QueryGroundHeightAt, which returns the height. Callers test 0x35, 0x37, 5 and 0x5A.
00409dc0	IsPlayerAttackable	May an enemy commit an attack on this player? Three clauses, in order: g_scene_state_major_entered (0x009C6F08) must be 2 -- the cam/ path camera row, so no attack lands during the follow camera or a scripted view-angle turn; then g_app_state == 5 returns TRUE unconditionally, which is the ATTRACT-MODE override (the demo has no real player, so its g_player_state is never 5 and the demo would otherwise never be attacked); otherwise g_player_state[player * 0x98] must be 5. It does NOT test g_player_invuln_frames: the 90-frame window after a hit stops the damage and nothing else, so enemies keep taking their turns through it. Called with -1 by TryClaimAttackSlot and the scripted attackers, which in the engine reads g_player_state - 0x130 bytes and relies on that not being 5.
00409e00	TurnAngleToward	Step an angle toward another by at most *rate* BAMS per frame -- a rate limit, not an ease. ZombieStateHoldAtRange and ZombieStateWaitTurn pass 0x40 and ZombieStateBackOff -0x40, which is a third of a degree a frame: slow enough that a retreating actor cannot whip round when it passes the point it is turning relative to.
00409e80	TurnActorTowardCameraEye	TurnActorTowardCamera without the 1.5-unit forward offset: eases the actor's yaw toward the camera eye itself.
00409ed0	TurnActorTowardCamera	Eases the actor's yaw (obj+0x68) toward a point 1.5 units in front of the camera.
00409f90	TurnActorAwayFromPoint	Eases the actor's yaw toward the direction (actor - point), the mirror of TurnActorTowardCamera. ZombieStateBackOff passes the position the strike started from.
00409fe0	TurnActorAwayFromPointTestArrival	TurnActorAwayFromPoint that also reports arrival: steps obj+0x68 at most the step argument in BAMS toward the heading atan2(obj - point), then returns FUN_0040A040(new yaw, target, tolerance) -- 1 when the yaw is now within the tolerance of the target. Ghidra types it void; the value falls through EAX. ThrowerStateStandAndDecide calls it with step and tolerance both 0x200 and uses both senses: non-zero advances the sub-state, and later not-1 resets it.
0040a090	ActorArcBeginFalling	Sets up a ballistic arc from a per-frame downward ACCELERATION rather than a duration: counts the frames out by stepping v -= a, y += v until the height has passed the destination's, then writes obj+0x5C = -a, zeroes obj+0x58 and obj+0x60, and sets the flat x and z speeds to the distance over that count and the initial y speed to (n*n*a + 2*dy) / 2n. ZombieStateDelayedLeap is the caller; the frame count lands in obj+0x1330.
0040a130	SpawnSeveredHead	Spawns the flying head the 1-in-4 headshot burst throws. NOT a blood spray, which is what docs/formats/combat.md called it until 2026-09-04 -- it is ActorAlloc(SeveredHeadUpdate, 0x1A8), an independent object with its own per-frame routine. Seeds +0x40..0x48 from the actor's obj+0x394 head point transformed through the camera block's matrix, +0x64/+0x68 from obj+0x330/+0x334 (the initial pitch and yaw), and +0x1A4 = the head asset slot the caller passes from obj+0x32C. Draw scale +0x118 is 1.0, or 2.0 in Original Mode with the big-head item (DAT_009C88A8) unless the character type is 0xE, which takes 1.8.
0040a230	SeveredHeadUpdate	The flying head's per-frame routine, three sub-states at +0x194. Launch (0): gravity +0x5C = -0.0204166, up speed +0x50 = (rand()%20 + 1)*0.01 + 0.3, and a horizontal push of 0.2 along the camera's own yaw -- MatrixRotateY(g_camera_block+0xD0) applied to (0, 0, -0.2) -- so the head always flies AWAY from the viewer. Two spin rates, +0x19C yaw with a random sign and +0x1A0 pitch, both rand()%0x800 + 0x800 BAMS a frame. Falling (1): QueryGroundHeightAt each frame; on contact y snaps to the ground, the vertical speed is negated and scaled by 0.25 -- a bounce -- FUN_00408370 marks the ground at 0.25, and the sound is 0x1116A9 for head slots 0x2015/0x1DC1, else 0x4416A9 on a wet surface (g_coli_hit_surface 0x37 or 5) and 0x2616A9 otherwise. Once |vy| <= 0.15 it settles: velocities zeroed, FUN_00408370 at 0.5, and 0x78 frames on the clock. Settled (2): sinks 0.04 a frame while both spins decay by a tenth, then frees itself. Draws AssetDrawSlot(+0x1A4) under translate, rotateY(yaw), rotateX(pitch) and the +0x118 scale.
0040a590	ActorDrawShadow	Picks the ground-shadow ellipse size by character type -- 50x30 for types 0x44 and 0x47, 11x10 for everything else -- and calls ActorDrawGroundShadow. Skipped when obj+0x34 bit 0x80000 is set or obj+0x1F8 bit 0 is clear.
0040a620	ActorDrawGroundShadow	Draws asset slot 0x10D0 as a flattened ellipse on the ground under the actor. The height comes from QueryGroundHeightAt(x, y+3, z) when obj+0x1F8 bit 2 is set, from obj+0x44 otherwise, and from g_camera_fixed_eye_y while g_app_state is 0x0D.
0040a6f0	ActorPlayHitVoice	Two sounds per event: a flesh impact from g_hit_voice_table[0..4] and a voice from one of two sets, chosen by character type. Kind 0 hurt, 1 killed, 2 headshot kill -- AND kind 3, which is the ATTACK CRY and is neither: it plays a single sound, coin-flipped within its set's own pair, and no impact. The set split is the switch at 0x0040A6F5 over obj+0x1F4: types 0, 2, 5, 6, 9, 0x0E, 0x0F, 0x10 and 0x11 take set A, every other type set B. TWENTY-THREE CALL SITES, AND THE CENSUS IS COMPLETE: kind 0 at 0045402D, 00449D11, 00452608, 00451A03; kind 1 at 0045264E, 00449A8B, 00451AF0; kind 2 at 00449A7E; 00453F7A is 2 when the hit result is 2 and 1 otherwise; and thirteen kind-3 sites -- 00454136 (ActorShotFeedback, gated on bone 2's draw slot being 0x1DC2, the head prop it then swaps for 0x1DC1), 0045EA4F, 004592B0, 00449C19, 0044B709, 0044EC02, 0044F157, 0045AE84, 0045E496, 0044C21D, 00455B8A, 0045AFF0, 00450C30, 0045843C. NOTHING PASSES 4. Kind 4's two ids live at g_actor_voice_kind4 (0x005A4EA8), both zero in the image and written by nothing, so kind 4 reaches PlaySoundId(0) and that early-outs: the arm is dead code and porting it is porting silence. None of the five kinds is an idle noise -- all five fire on an event. The standing groan is ZombieStateHoldAtRange's PlaySoundId(0x1917A9) at 004558D6 and the held-weapon loop is EnemyZombieInitByCharType's at 0045314F, neither of them this routine.
